00:30:22,Fong Kai Industrial Co. Ltd. 
f4:49:ef,EMSTONE 
00:15:cc,UQUEST LTD. 
00:11:21,Cisco Systems Inc 
00:15:85,Aonvision Technolopy Corp. 
00:13:a2,MaxStream Inc 
00:50:e2,Cisco Systems Inc 
20:78:f0,Apple Inc. 
f4:42:27,S & S Research Inc. 
00:1a:d3,Vamp Ltd. 
00:0a:55,MARKEM Corporation 
90:48:9a,Hon Hai Precision Ind. Co.Ltd. 
6c:60:eb,ZHI YUAN ELECTRONICS CO. LIMITED 
cc:4e:ec,HUMAX Co. Ltd. 
00:22:0e,Indigo Security Co. Ltd. 
00:11:e3,Thomson Inc. 
00:21:b5,Galvanic Ltd 
00:d0:33,DALIAN DAXIAN NETWORK 
30:ff:f6,HangZhou KuoHeng Technology Co.ltd 
00:1b:b1,Wistron Neweb Corporation 
00:aa:70,LG Electronics (Mobile Communications) 
00:90:a5,SPECTRA LOGIC 
00:06:74,Spectrum Control Inc. 
5c:43:d2,HAZEMEYER 
00:60:f0,JOHNSON & JOHNSON MEDICAL INC 
60:18:03,Daikin Air-conditioning (Shanghai) Co. Ltd. 
00:07:df,Vbrick Systems Inc. 
e4:f4:c6,NETGEAR 
44:c3:46,HUAWEI TECHNOLOGIES CO.LTD 
fc:a9:b0,MIARTECH (SHANGHAI)INC. 
08:00:01,COMPUTERVISION CORPORATION 
ec:f8:eb,SICHUAN TIANYI COMHEART TELECOMCO. LTD 
00:25:9a,CEStronics GmbH 
0c:f3:61,Java Information 
00:26:56,Sansonic Electronics USA 
a8:11:fc,ARRIS Group Inc. 
00:b0:69,Honewell Oy 
5c:cc:a0,Gridwiz Inc. 
00:00:3f,SYNTREX INC. 
14:0c:5b,PLNetworks 
00:1f:db,Network Supply Corp. 
50:09:59,Technicolor CH USA Inc. 
ac:de:48,Private 
94:ba:31,Visiontec da Amazônia Ltda. 
00:16:f4,Eidicom Co. Ltd. 
11:00:aa,Private 
00:1b:18,Tsuken Electric Ind. Co.Ltd 
70:de:e2,Apple Inc. 
78:32:4f,Millennium Group Inc. 
00:20:f7,CYBERDATA CORPORATION 
64:c3:54,Avaya Inc 
00:08:7b,RTX Telecom A/S 
00:ca:e5,Cisco Systems Inc 
54:7f:ee,Cisco Systems Inc 
00:c0:0d,ADVANCED LOGIC RESEARCH INC. 
00:60:6e,DAVICOM SEMICONDUCTOR INC. 
00:00:01,XEROX CORPORATION 
70:9b:fc,Bryton Inc. 
00:60:2d,ALERTON TECHNOLOGIES INC. 
00:0d:74,Sand Network Systems Inc. 
00:1c:88,TRANSYSTEM INC. 
f8:50:63,Verathon 
00:50:eb,ALPHA-TOP CORPORATION 
00:1b:2a,Cisco Systems Inc 
ec:93:ed,DDoS-Guard LTD 
5c:b5:59,CNEX Labs 
2c:28:2d,BBK EDUCATIONAL ELECTRONICS CORP.LTD. 
34:de:1a,Intel Corporate 
e8:4e:06,EDUP INTERNATIONAL (HK) CO. LTD 
00:0a:3a,J-THREE INTERNATIONAL Holding Co. Ltd. 
98:c0:eb,Global Regency Ltd 
00:22:e6,Intelligent Data 
00:04:3b,Lava Computer Mfg. Inc. 
00:14:65,Novo Nordisk A/S 
a0:bf:50,S.C. ADD-PRODUCTION S.R.L. 
00:00:d6,PUNCH LINE HOLDING 
d0:75:be,Reno A&E 
00:22:a7,Tyco Electronics AMP GmbH 
d0:c1:b1,Samsung Electronics Co.Ltd 
00:18:0e,Avega Systems 
ec:5c:69,MITSUBISHI HEAVY INDUSTRIES MECHATRONICS SYSTEMSLTD. 
68:02:35,Konten Networks Inc. 
00:06:c1,Cisco Systems Inc 
58:bf:ea,Cisco Systems Inc 
00:0e:f7,Vulcan Portals Inc 
74:c9:a3,Fiberhome Telecommunication Technologies Co.LTD 
00:0d:69,TMT&D Corporation 
44:11:c2,Telegartner Karl Gartner GmbH 
14:5f:94,HUAWEI TECHNOLOGIES CO.LTD 
2c:42:05,Lytx 
00:e0:55,INGENIERIA ELECTRONICA COMERCIAL INELCOM S.A. 
f8:da:0c,Hon Hai Precision Ind. Co.Ltd. 
00:09:71,Time Management Inc. 
28:6a:b8,Apple Inc. 
54:48:9c,CDOUBLES ELECTRONICS CO. LTD. 
00:21:15,PHYWE Systeme GmbH & Co. KG 
00:1e:46,ARRIS Group Inc. 
c0:ba:e6,Application Solutions (Electronics and Vision) Ltd 
64:00:2d,Powerlinq Co. LTD 
00:01:1f,RC Networks Inc. 
f0:73:ae,PEAK-System Technik 
60:b6:17,Fiberhome Telecommunication Technologies Co.LTD 
00:23:f8,Zyxel Communications Corporation 
18:93:d7,Texas Instruments 
00:14:d3,SEPSA 
00:04:e8,IER Inc. 
0c:5a:9e,Wi-SUN Alliance 
00:24:6f,Onda Communication spa 
00:1f:2c,Starbridge Networks 
00:40:60,COMENDEC LTD 
00:3a:af,BlueBit Ltd. 
00:22:f6,Syracuse Research Corporation 
00:05:dc,Cisco Systems Inc 
34:84:46,Ericsson AB 
00:50:ad,CommUnique Wireless Corp. 
80:e0:1d,Cisco Systems Inc 
00:40:ff,TELEBIT CORPORATION 
f0:5d:c8,Duracell Powermat 
00:15:fe,SCHILLING ROBOTICS LLC 
00:20:0a,SOURCE-COMM CORP. 
24:a8:7d,Panasonic Automotive Systems Asia Pacific(Thailand)Co.Ltd. 
00:1b:24,QUANTA COMPUTER INC. 
e8:6f:f2,Actiontec Electronics Inc 
28:16:ad,Intel Corporate 
00:01:bc,Brains Corporation 
90:cd:b6,Hon Hai Precision Ind. Co.Ltd. 
00:0c:c7,Intelligent Computer Solutions Inc. 
00:09:ae,OKANO ELECTRIC CO.LTD 
ac:17:02,Fibar Group sp. z o.o. 
00:22:f2,SunPower Corp 
00:05:a7,HYPERCHIP Inc. 
b0:e1:7e,HUAWEI TECHNOLOGIES CO.LTD 
4c:48:da,Beijing Autelan Technology Co.Ltd 
10:58:87,Fiberhome Telecommunication Technologies Co.LTD 
2c:cd:69,Aqavi.com 
00:01:f4,Enterasys 
00:80:2b,INTEGRATED MARKETING CO 
00:20:31,Tattile SRL 
00:90:43,Tattile SRL 
00:f2:8b,Cisco Systems Inc 
3c:a8:2a,Hewlett Packard 
14:f2:8e,ShenYang ZhongKe-Allwin Technology Co.LTD 
00:30:9c,Timing Applications Inc. 
00:26:f1,ProCurve Networking by HP 
f0:1c:2d,Juniper Networks 
00:01:bd,Peterson Electro-Musical Products Inc. 
a8:58:40,Cambridge Industries(Group) Co.Ltd. 
00:0a:42,Cisco Systems Inc 
00:24:35,WIDE CORPORATION 
00:23:2b,IRD A/S 
00:06:77,SICK AG 
00:08:96,Printronix Inc. 
9c:b7:0d,Liteon Technology Corporation 
00:30:45,Village Networks Inc. (VNI) 
7c:6b:33,Tenyu Tech Co. Ltd. 
00:c0:9a,PHOTONICS CORPORATION 
a0:ec:80,zte corporation 
f8:47:2d,X2gen Digital Corp. Ltd 
00:26:e0,ASITEQ 
38:0b:40,Samsung Electronics Co.Ltd 
c4:36:da,Rusteletech Ltd. 
68:51:b7,PowerCloud Systems Inc. 
64:6e:6c,Radio Datacom LLC 
58:d9:d5,Tenda Technology Co.Ltd.Dongguan branch 
00:20:78,RUNTOP INC. 
9c:63:ed,zte corporation 
3c:19:7d,Ericsson AB 
38:1c:1a,Cisco Systems Inc 
00:50:71,AIWA CO. LTD. 
00:1c:be,Nintendo Co. Ltd. 
00:08:1f,Pou Yuen Tech Corp. Ltd. 
90:27:e4,Apple Inc. 
20:f3:a3,HUAWEI TECHNOLOGIES CO.LTD 
00:13:b7,Scantech ID 
00:80:f0,Panasonic Communications Co. Ltd. 
00:09:83,GlobalTop Technology Inc. 
ec:43:8b,YAPTV 
70:76:ff,KERLINK 
00:23:25,IOLAN Holding 
20:7d:74,Apple Inc. 
58:53:c0,Beijing Guang Runtong Technology Development Company co.Ltd 
00:05:26,IPAS GmbH 
ac:b8:59,Uniband Electronic Corp 
3c:6f:45,Fiberpro Inc. 
00:e0:bd,INTERFACE SYSTEMS INC. 
fc:fe:77,Hitachi Reftechno Inc. 
00:0c:a5,Naman NZ LTd 
00:23:76,HTC Corporation 
00:07:e7,FreeWave Technologies 
00:07:9c,Golden Electronics Technology Co. Ltd. 
00:1d:54,Sunnic Technology & Merchandise INC. 
00:08:74,Dell Inc. 
e4:c7:22,Cisco Systems Inc 
4c:e9:33,RailComm LLC 
70:aa:b2,BlackBerry RTS 
00:0b:2e,Cal-Comp Electronics & Communications Company Ltd. 
00:26:b4,Ford Motor Company 
2c:67:fb,ShenZhen Zhengjili Electronics Co. LTD 
00:1e:21,Qisda Corporation 
58:4c:19,Chongqing Guohong Technology Development Company Limited 
68:a4:0e,BSH Hausgeräte GmbH 
00:25:21,Logitek Electronic Systems Inc. 
98:02:84,Theobroma Systems GmbH 
00:24:c3,Cisco Systems Inc 
b0:ec:e1,Private 
00:16:df,Lundinova AB 
80:56:f2,Hon Hai Precision Ind. Co.Ltd. 
00:0d:e7,Snap-on OEM Group 
00:15:b2,Advanced Industrial Computer Inc. 
00:21:c5,3DSP Corp 
00:07:58,Dragonwave 
04:81:ae,Clack Corporation 
